"corpus_sizes","agx","ava","kum","rut","dar","tab","lak","lez","nog","tkr","arch","khv"
25102,0.211904187743917,0.292449499527242,0.24412051659538,0.22196552846814,0.377684894648847,0.286653031482658,0.252273856619807,0.231770076667861,0.199288588300426,0.262709739639915,0.260568495777726,0.258516928315013
25694,0.2091125748189,0.289865974899959,0.241865772700378,0.219583066466964,0.375010538475908,0.28405386213966,0.249856365874112,0.229492841498205,0.196523512327366,0.259894361018094,0.257730696376169,0.255734472782962
26237,0.2066199518888,0.287557016031349,0.239851409949542,0.217454867299786,0.372612921179726,0.281729261249343,0.247695226900563,0.227459688520736,0.194056271132592,0.257375374553473,0.25519197188138,0.253245027072884
26334,0.206181298522568,0.287150460536444,0.239496800503357,0.217080247096929,0.372190020882164,0.2813197901474,0.247314645109977,0.227101899059001,0.193622251758928,0.256931570144001,0.254744722017072,0.25280643558742
26392,0.205919952448267,0.286908205121602,0.239285508944619,0.216857036658823,0.371937921291866,0.281075774490192,0.247087859153111,0.226888730945945,0.193363690592836,0.25666708156786,0.254478184706376,0.25254505488941
26943,0.20347167257755,0.284637525942902,0.237305442757823,0.214765444202871,0.369571160403681,0.278787767162261,0.244961906177333,0.224891742354908,0.190942378058366,0.254186667726577,0.251978726598259,0.250093831095383
27668,0.20034221000283,0.281731598076808,0.234772454012333,0.212090276146232,0.366532179886232,0.275857489766698,0.242240503592407,0.222338860589453,0.187849735094511,0.25100889994498,0.248777014463802,0.246953577881531
28449,0.197082066299286,0.278699766258746,0.232130954601876,0.209301178329341,0.363349376303524,0.272797675883742,0.239400408963344,0.219678728013749,0.184630821909442,0.247689546142307,0.245433208239398,0.243673555226405
28789,0.195697180595273,0.277410344691703,0.23100792432414,0.208115628651306,0.361991963867872,0.271495562684023,0.238192301846639,0.218548432969415,0.183264357432073,0.246276691121852,0.244010122436316,0.242277487198736
31096,0.186808486327307,0.269109800431177,0.223784082646474,0.200493573777771,0.353199140637848,0.263102198709651,0.230412239225942,0.21128733180695,0.174507271185697,0.237166588903253,0.234836696043085,0.233276314582439
31226,0.186332330444004,0.268663829632457,0.223396236767148,0.200084566604374,0.3527240241342,0.262650703634058,0.229994100081098,0.210897953149865,0.174038838561372,0.236676449826104,0.234343283981504,0.23279207091593
31415,0.185644504423336,0.268019348675504,0.222835803464207,0.199493599306537,0.352036934686337,0.261998143980792,0.229389817542129,0.21033538987605,0.173362293439293,0.235968029959968,0.233630158426274,0.232092178421839
31673,0.184713936634991,0.267146928029653,0.222077251168994,0.19869380332887,0.351105912642884,0.261114608168887,0.228571772851665,0.209574114712585,0.1724472230135,0.235008852831373,0.232664657154554,0.231144559343295
31768,0.18437369057997,0.266827798039091,0.221799801312554,0.198401292828718,0.350765080711108,0.260791360928158,0.228272522303844,0.209295714994578,0.172112711237393,0.234657930116905,0.232311434348848,0.23079786878248
31966,0.183668656742011,0.266166269170022,0.221224718400198,0.197795036098004,0.350058111717822,0.260121210027598,0.227652183148645,0.208718741955864,0.171419676010549,0.233930401889281,0.231579161033001,0.230079120689088
31972,0.183647378244449,0.266146298393518,0.221207358304827,0.197776735868055,0.350036759627849,0.26010097713303,0.227633455454728,0.208701326455336,0.17139876209028,0.233908436683677,0.231557053059012,0.23005742069756
31978,0.183626104792312,0.266126332040335,0.22119000211198,0.19775843980587,0.350015411708498,0.260080748612798,0.227614731886375,0.208683914966648,0.171377853272765,0.233886476227729,0.231534949894515,0.230035725405868
32067,0.183311139779833,0.265830682725943,0.220933009149249,0.197487536537652,0.3496992396329,0.259781204773089,0.22733748234235,0.208426114576563,0.171068303711365,0.233561286031043,0.231207649864358,0.229714462640746
32502,0.18178746152812,0.264399462887647,0.219689100738258,0.196176469624851,0.348166935983542,0.258330801156586,0.225995267040627,0.207178598709903,0.169571271093539,0.231986711852738,0.229622950269037,0.228158928631077
33459,0.178524610119908,0.261328889830607,0.217021393487103,0.193365736593704,0.344869757542516,0.255217236765159,0.223115293451091,0.204504842800002,0.166368012636402,0.228606749574843,0.226221766958551,0.224819971410627
35007,0.173491159725427,0.256575532915037,0.212894415508238,0.189020455221215,0.339739213143966,0.250392475712226,0.218656176656612,0.200373082296838,0.161433461448819,0.223370143793747,0.220953710502685,0.219647266302586
35172,0.172971512422421,0.256083579786692,0.212467481190534,0.188571159595695,0.339206378967738,0.249892801243901,0.218194628381838,0.199945972901792,0.160924518277433,0.222827918369277,0.220408330329026,0.219111683970445
35753,0.171166419855272,0.254372808866169,0.210983095128708,0.187009372091269,0.337350736311996,0.248154702332531,0.216589531825937,0.198461447719705,0.159157342219003,0.220941999677276,0.218511591276812,0.217248910268194
35976,0.17048361051574,0.253724900274936,0.210421038249303,0.186418151147913,0.33664686088336,0.247496251746211,0.215981622626603,0.197899529071196,0.158489175117478,0.22022763533104,0.217793190618353,0.216543329191607
36838,0.167894853639506,0.25126443460527,0.208287175279661,0.184174316007081,0.333968328945878,0.244994800376418,0.213672963173613,0.195767150225477,0.155957447912697,0.217514259221487,0.215064800332505,0.213863397131801
37340,0.166423201830385,0.249862769480498,0.207071977763623,0.182897042961126,0.332438508840154,0.243569119880751,0.212357723078675,0.194553479606171,0.154519300847882,0.215968185242575,0.213510399109828,0.212336438758519
39101,0.161458079601097,0.245116951390729,0.202959744875534,0.17857794019551,0.327237458991124,0.238738470049152,0.207904346958677,0.190450115396793,0.149673175312969,0.210732172631097,0.208247448797453,0.207165492994654
39882,0.159349063919597,0.243092739101922,0.201206833681209,0.176738449473879,0.325008997687526,0.236676456488041,0.206004838742786,0.188702736444281,0.147617557208834,0.208498543454587,0.206002938338207,0.20495977950819
40299,0.158245181308133,0.242031140698584,0.200287775352597,0.17577440432298,0.323837855511416,0.235594654632829,0.205008647178363,0.187787000562697,0.146542317976911,0.207327095005901,0.204825932785136,0.203803010696928
41262,0.155752752724372,0.239628652088116,0.198208522769594,0.173594453410921,0.321181270421513,0.233145497554418,0.202754218403949,0.185716341882337,0.144116347739074,0.204676060907457,0.202162710058717,0.201185298083406
42207,0.153380988984632,0.237335049300443,0.196224361289814,0.171515656415569,0.318637038726274,0.230806138366054,0.200602048270583,0.183741783206393,0.141810163833759,0.202145399495616,0.199620924436394,0.198686578283616
42463,0.152750653739147,0.23672422144003,0.195696085089324,0.170962433479581,0.317958132334108,0.230182929977494,0.200028905366032,0.183216295854889,0.141197647488726,0.201471498742822,0.198944147034029,0.198021205721558
42559,0.152515587172763,0.236496290545468,0.195498973762882,0.170756041506248,0.317704654023607,0.229950358510803,0.199815039013541,0.183020250202842,0.140969268332342,0.20122004014704,0.198691624376373,0.197772931756395
42570,0.152488697785486,0.236470212565777,0.195476422437424,0.170732429350109,0.317675648130515,0.229923748877537,0.199790570268579,0.182997821670453,0.140943145391042,0.20119127061296,0.198662733426446,0.197744526662349
42846,0.151817049557125,0.235818506983809,0.194912885782515,0.170142447928626,0.316950439228282,0.229258709236666,0.199179086427711,0.182437411581535,0.140290739760361,0.200472321837087,0.197940772155785,0.197034690868816
44010,0.149047074838124,0.233124017393539,0.192583661563673,0.167705268182529,0.313945235104002,0.226508127821442,0.196651032942591,0.180122299564759,0.137602139846455,0.197500311543093,0.194956756196479,0.194100468697899
44259,0.148467317350175,0.232558642988119,0.192095079268766,0.167194323966858,0.313313267336445,0.225930790056295,0.196120613734818,0.179636921579161,0.137039829740815,0.196876826802617,0.194330845505672,0.193484935513241
44525,0.147852823621406,0.231958844307068,0.191576805528665,0.166652439621829,0.312642289024159,0.225318227164103,0.195557912540959,0.179122139811468,0.136443987680517,0.196215432615885,0.193666913455069,0.192831985635436
44859,0.147088234244839,0.231211738724657,0.190931329422957,0.165977718936823,0.311805755927065,0.22455511904221,0.194857036620274,0.178481146806482,0.135702835511161,0.195391685633962,0.192840057208428,0.192018769236827
